Sentence_id,text,label
27090,"And what I'm afraid of is we've watched over the past year or so, first the president saying, well we'll let the U.N. deal with it.",0
9898,"What I've also said is if we're going to go after folks who are here illegally, we should do it smartly and go after folks who are criminals, gang bangers, people who are hurting the community, not after students, not after folks who are here just because they're trying to figure out how to feed their families.",0
9544,"He's already taken that off the board, capital gains are going to continue to be at a low rate so we -- we're not going to get money that way.",1
10032,"I said I'd end the war in Libya -- in -- in Iraq, and I did.",1
1921,"It's just -- it's -- we've got -- when the president took office, 32 million people on food stamps; 47 million on food stamps today; economic growth this year slower than last year, and last year slower than the year before.",1
27913,"Having a tax code that rewards companies that are shipping jobs overseas instead of companies that are investing here in the United States, that will not make us more competitive.",0
27896,...they would have gone through a...,0
1888,"If you believe that we can cut taxes by $5 trillion and add $2 trillion in additional spending that the military is not asking for, $7 trillion -- just to give you a sense, over 10 years, that's more than our entire defense budget -- and you think that by closing loopholes and deductions for the well-to-do, somehow you will not end up picking up the tab, then Governor Romney's plan may work for you.",1
2025,"That's why the National Federation of Independent Businesses said your plan will kill 700,000 jobs.",1
9884,Why did he fail to even promote legislation that would have provided an answer for those that want to come legally and for those that are here illegally today?,1
2645,"And I -- look, I'm all in favor of green energy.",0
2180,And the essence of the plan is that you would turn Medicare into a voucher program.,1
10159,But it's one of the great tragedies related to violence in our society which has occurred during this administration.,0
27437,Iran is a state sponsor of terrorism.,1
10031,"But when it comes to our national security, I mean what I say.",0
27672,But we have some work to do.,0
2520,"You've said the same thing, you're going to simplify the tax code, broaden the base.",1
26993,"Number two, with regards to Iraq, you and I agreed I believe that there should be a status of forces agreement.",0
9969,"Well, let me give you some advice.",0
2640,I don't have any plan to cut education funding and -- and grants that go to people going to college.,0
1814,"I know that you and your running mate keep saying that and I know it's a popular thing to say with a lot of people, but it's just not the case.",0
9647,And that's not the kind of advocacy that women need in any economy.,0
27341,"As a governor, I thought please, give me this program.",0
27973,America's going to have that kind of leadership and continue to promote principles of peace to make a world a safer place and make people in this country more confident that their future is secure.,0
9513,We can do better than this.,0
2228,"And, by the way the idea came not even from Paul Ryan or -- or Senator Wyden, who's the co-author of the bill with -- with Paul Ryan in the Senate, but also it came from Bill -- Bill Clinton's chief of staff.",1
9539,That's another trillion dollars -- that's $8 trillion.,1
10060,"Syria -- Syria's not just a tragedy of 30,000 civilians being killed by a military, but also a strategic -- strategically significant player for America.",1
2292,And it includes within it a number of provisions that I think has some unintended consequences that are harmful to the economy.,1
2743,There's no question in my mind that if the president were to be reelected you'll continue to see a middle-class squeeze with incomes going down and prices going up.,0
27427,"And this is the reason why, working with Israel, we have created the strongest military and intelligence cooperation between our two countries in history.",1
9816,That's after losing 5 million jobs.,1
27253,It doubles about every -- every five or so years.,1
10259,"I know what it takes to get this to happen, and my plan will do that, and one part of it is to make sure that we keep China playing by the rules.",0
9708,Our party has been focused too long.,0
10034,"I said we'd transition out of Afghanistan, and start making sure that Afghans are responsible for their own security, that's what I'm doing.",1
27991,This nation is the hope of the earth.,0
9900,"And what I've also said is for young people who come here, brought here often times by their parents.",0
27277,"You know, under my leadership, what we've done is reformed education, working with governors, 46 states.",1
9738,George Bush embraced comprehensive immigration reform.,1
27361,The math simply doesn't work.,1
2418,"So entirely on a partisan basis, instead of bringing America together and having a discussion on this important topic, you pushed through something that you and Nancy Pelosi and Harry Reid thought was the best answer and drove it through.",1
2650,"Look, the right course for America's government, we were talking about the role of government, is not to become the economic player, picking winners and losers, telling people what kind of health treatment they can receive, taking over the health care system that has existed in this country for a long, long time and has produced the best health records in the world.",1
2140,And the reason she could be independent was because of Social Security and Medicare.,0
2748,"If the president's reelected, Obamacare will be fully installed.",0
9249,"That means that in the middle of the next decade, any car you buy, you're going to end up going twice as far on a gallon of gas.",1
27393,Now we're changing to one conflict.,1
27387,We're now at under 285.,1
1845,And what I want to do is continue the tax rates -- the tax cuts that we put into place for small businesses and families.,0
2369,So it's adding to cost.,1
1661,The financial system had frozen up.,1
26997,"What I would not have had done was left 10,000 troops in Iraq that would tie us down.",1
27801,"And if we're not making investments in education and basic research, which is not something that the private sector is doing at a sufficient pace right now and has never done, then we will lose the (inaudible) in things like clean energy technology.",1
2225,"We have to have the benefits high for those that are low income, but for higher income people, we're going to have to lower some of the benefits.",0
9178,"And the fact that you're going to college is great, but I want everybody to get a great education and we've worked hard to make sure that student loans are available for folks like you, but I also want to make sure that community colleges are offering slots for workers to get retrained for the jobs that are out there right now and the jobs of the future.",1
1710,"Well, let me talk specifically about what I think we need to do.",0
9815,"He keeps saying, ""Look, I've created 5 million jobs.""",1
9477,And we've cut them 18 times.,1
9486,That's part of what took us from deficits to surplus.,1
27592,"In the same way that you initially opposed a timetable in Afghanistan, now you're for it, although it depends.",1
9224,"You can invest in a company, bankrupt it, lay off the workers, strip away their pensions, and you still make money.",0
27121,"We -- we have, with our partners in the region, we have sufficient resources to support those groups.",1
2408,"And as a consequence, we now have a system in which we have the opportunity to start bringing down costs, as opposed to just leaving millions of people out in the cold.",0
27069,"First of all, 30,000 people being killed by their government is a humanitarian disaster.",1
27535,"Iran is at its weakest point, economically, strategically, militarily, then since -- then in many years.",1
2546,The first role of the federal government is to keep the American people safe.,0
9153,"And kids across this country are going to recognize, we're bringing back an economy.",0
2289,"And what's happened with some of the legislation that's been passed during the president's term, you've seen regulation become excessive, and it's hurt -- it's hurt the economy.",1
2164,That's not just going after places where there's abuse.,0
26969,You said that we should still have troops in Iraq to this day.,1
27228,"Making sure that we're bringing manufacturing back to our shores so that we're creating jobs here, as we've done with the auto industry, not rewarding companies that are shipping jobs overseas.",1
2147,$716 billion we were able to save from the Medicare program by no longer overpaying insurance companies by making sure that we weren't overpaying providers.,1
26977,"Well, of course I don't concur with what the president said about my own record and the things that I've said.",0
1809,I'm not looking for a $5 trillion tax cut.,0
9761,We saved an auto industry that was on the brink of collapse.,1
2612,"You know, this is where budgets matter, because budgets reflect choices.",1
26916,"Of course the greatest threat of all is Iran, four years closer to a nuclear weapon.",0
2699,"That's how we repealed ""don't ask/don't tell.""",0
1797,That's the analysis of economists who have looked at this.,1
10123,But there were a lot of families who didn't have that good fortune and whose sons or daughters or husbands didn't survive.,0
27337,So I'd get rid of that one from day one.,0
9714,"And the thing I find the most troubling about Obama Care, well it's a long list, but one of the things I find most troubling is that when you go out and talk to small businesses and ask them what they think about it, they tell you it keeps them from hiring more people.",0
27324,"Well, let's come back and talk about the military, but all the way -- all the way through.",0
9273,Well a lot of it came from the Bakken Range in North Dakota.,1
26989,I have clear eyes on this.,0
9905,And that's what I've done administratively.,0
9824,"It's growing more slowly this year than last year, and more slowly last year than the year before.",1
9988,And it's a bad policy.,0
9290,"And if we do that, if we do what I'm planning on doing, which is getting us energy independent, North America energy independence within eight years, you're going to see manufacturing jobs come back.",0
9135,So what we have to do is two things.,0
10254,"I want to make sure that regulators see their job as encouraging small business, not crushing it.",0
27870,"And that we do those things that make America the most attractive place in the world for entrepreneurs, innovators, businesses to grow.",0
2068,"It means that the teacher that I met in Las Vegas, a wonderful young lady, who describes to me -- she's got 42 kids in her class.",0
1872,"Well, President, you're -- Mr. President, you're absolutely right, which is that, with regards to 97 percent of the businesses are not -- not taxed at the 35 percent tax rate, they're taxed at a lower rate.",1
27455,"It's absolutely the right thing to do, to have crippling sanctions.",0
1894,We created 23 million new jobs.,1
27982,The president's path means 20 million people out of work struggling for a good job.,1
9737,George Bush didn't propose turning Medicare into a voucher.,1
26970,"You indicated that we shouldn't be passing nuclear treaties with Russia despite the fact that 71 senators, Democrats and Republicans, voted for it.",1
27370,Because we've got to make sure that our economy is strong at home so that we can project military power overseas.,0
27229,"Making sure that we've got the best education system in the world, including retraining our workers for the jobs of tomorrow.",0
27305,And that was -- that was -- that was what allowed us to become the number one state in the nation.,1
1787,"They can buy a computer for their kid who's going off to college, which means they're spending more money, businesses have more customers, businesses make more profits, and then hire more workers.",1
27730,We had a tire case in which they were flooding us with cheap domestic tires -- or -- or cheap Chinese tires.,1
27312,"And the principles that we put in place, we also gave kids not just a graduation exam that determined whether they were up to the skills needed to -- to be able compete, but also if they graduated the quarter of their class, they got a four-year tuition- free ride at any Massachusetts public institution of higher learning.",1
9159,"When you come out in 2014, I presume I'm going to be president.",0
27576,"I see the Middle East with a rising tide of violence, chaos, tumult.",0
2364,"A woman came to me and she said, look, I can't afford insurance for myself or my son.",0
2162,"Now, he says by not overpaying hospitals and providers.",1
1760,"But in order for us not to lose revenue, have the government run out of money, I also lower deductions and credits and exemptions, so that we keep taking in the same money when you also account for growth.",1
27976,"One is a path represented by the president, which at the end of four years would mean we'd have $20 trillion in debt heading towards Greece.",1
1689,He's lost his most recent job and we've now just lost our home.,0
27666,It's a nation that's not like -- like others and it does not have a civilian leadership that is calling the shots there.,1
26927,"And as a consequence, Al Qaeda's core leadership has been decimated.",1
9522,Getting us to a balanced budget.,0
2591,The proof of that is 1 out of 6 people in poverty.,1
9218,Governor Romney doesn't have a five-point plan.,0
27795,"And, you know, that's -- you're right.",0
27645,And so we decimated Al Qaida's core leadership in the border regions between Afghanistan and Pakistan.,1
9733,"Well, in fact we saved 1,000 jobs.",1
10023,"Number one, beef up our security and procedures, not just in Libya, but at every embassy and consulate in the region.",0
9381,"Well, think about what the governor -- think about what the governor just said.",0
9874,There are 4 million people who are waiting in line to get here legally.,1
9810,"In fact, he doubled it.",1
9204,"Well, the president took Detroit bankrupt.",1
1929,"I'm glad you raised that, and it's a -- it's a critical issue.",0
2657,"And by the way, I've had that experience.",0
2043,You'll never balance the budget by raising taxes.,0
27448,"Number two, with regards to Iran and the threat of Iran, there's no question but that a nuclear Iran, a nuclear-capable Iran is unacceptable to America.",0
2497,It was the largest expansion of private insurance.,1
10311,"Because they are low wage, low skill jobs.",0
10347,I've sat across the table from people who were out of work and worked with them to try and find new work or to help them through tough times.,0
2002,But you've been -- but you've been president four years...,0
27669,"This is a nation, which, if it falls apart, if it -- if it becomes a failed state, there are nuclear weapons there and you've got -- you've got terrorists there who could grab their -- their hands onto those nuclear weapons.",1
9623,"I was proud of the fact that after I staffed my Cabinet and my senior staff, that the University of New York in Albany did a survey of all 50 states, and concluded that mine had more women in senior leadership positions than any other state in America.",1
9718,My path is designed in getting small businesses to grow and hire people.,0
2621,Let me just finish the point.,0
2154,"And the answer is neither the president nor I are proposing any changes for any current retirees or near retirees, either to Social Security or Medicare.",1
9491,"Not only that, he said, ""I think that's what grows the economy.""",1
27626,"There are now a large number of Afghan Security Forces, 350,000 that are ready to step in to provide security and we're going to be able to make that transition by the end of 2014.",1
10319,"Those investments are what's going to help to make sure that we continue to lead this world economy, not just next year, but 10 years from now, 50 years from now, 100 years from now.",1
27832,Under no circumstances would I do anything other than to help this industry get on its feet.,0
2174,I want to take that $716 billion you've cut and put it back into Medicare.,1
10047,And there was no demonstration involved.,1
27580,"I see our trade deficit with China, larger than it's -- growing larger every year, as a matter of fact.",1
27511,"Then when there were dissidents in the streets of Tehran, a Green Revolution, holding signs saying, is America with us, the president was silent.",0
9155,"The middle-class has been crushed over the last four years, and jobs have been too scarce.",1
27874,...because the private sector's not going to invest in a...,0
2325,"In the meantime, by the way, we also made sure that all the help that we provided those banks was paid back every single dime, with interest.",1
1823,There are six other studies that looked at the study you describe and say it's completely wrong.,1
1963,The president said he'd cut the deficit in half.,1
2471,That's already offered in the private marketplace.,1
27577,"I see jihadists continuing to spread, whether they're rising or just about the same level, hard to precisely measure, but it's clear they're there.",1
26960,"With Mali now having North Mali taken over by Al Qaida; with Syria having Assad continuing to -- to kill, to murder his own people, this is a region in tumult.",1
9887,Was -- Lorranna -- Lorraine -- we are a nation of immigrants.,0
27226,"And Governor Romney, our alliances have never been stronger, in Asia, in Europe, in Africa, with Israel, where we have unprecedented military and intelligence cooperation, including dealing with the Iranian threat.",1
1971,"So 77 government programs, everything from aircrafts that the Air Force had ordered but weren't working very well, 18 government -- 18 government programs for education that were well-intentioned, not weren't helping kids learn, we went after medical fraud in Medicare and Medicaid very aggressively, more aggressively than ever before, and have saved tens of billions of dollars, $50 billion of waste taken out of the system.",1
2586,"And we -- we look for discovery and innovation, all these things desired out of the American heart to provide the pursuit of happiness for our citizens.",0
27803,We absolutely have to make more progress and that's why we're going to keep on pressing.,0
10234,One of the reasons -- or one of the ways they don't play by the rules is artificially holding down the value of their currency.,1
10018,"And these aren't just representatives of the United States, they are my representatives.",0
2547,That's its most basic function.,0
27754,How strong is our economy?,0
9466,"I want to get us on track to a balanced budget, and I'm going to reduce the tax burden on middle income families.",1
2017,"You said, ""Look, I'm going to extend the tax policies that we have now; I'm not going to raise taxes on anyone, because when the economy is growing slow like this, when we're in recession, you shouldn't raise taxes on anyone.""",1
27286,Companies are going to locate here depending on whether we've got the most highly skilled workforce.,0
2387,And it wasn't just that small businesses were seeing costs skyrocket and they couldn't get affordable coverage even if they wanted to provide it to their employees.,1
2572,So I reject the idea that I don't believe in great teachers or more teachers.,0
1822,"Now, you cite a study.",0
1935,"One, of course, is to raise taxes.",0
27273,And they include you and me.,0
27566,"Bob, let's not go into hypotheticals of that nature.",0
27184,"We're the great nation that has allies, 42 allies and friends around the world.",1
2574,The role of government: Look behind us.,0
10189,Giving them access to higher education.,1
10268,"One of his big ideas when it comes to corporate tax reform would be to say, if you invest overseas, you make profits overseas, you don't have to pay U.S. taxes.",1
26982,But I'll respond to a couple of things that you mentioned.,0
2295,This is an enormous boon for them.,0
2194,"They recruit them, leaving the older, sicker seniors in Medicare.",1
9438,And the reason I want middle-income taxpayers to have lower taxes is because middle-income taxpayers have been buried over the past four years.,1
10285,That's why exports have significantly increased under my presidency.,1
1974,"Now, we all know that we've got to do more.",0
9992,And we want to encourage that.,0
10371,That's not what I believe.,0
9768,"And those that I haven't been able to keep, it's not for lack of trying and we're going to get it done in a second term.",0
27871,But you're investing in companies doesn't do that.,0
27627,So our troops will come home at that point.,1
9354,"Look, there's no question but the people recognize that we have not produced more (inaudible) on federal lands and in federal waters.",1
27741,It's not government investments that makes businesses grow and hire people.,1
9367,I don't think the American people believe that.,0
9863,We welcome people coming to this country as immigrants.,1
2378,I don't like that idea.,0
1746,"Health care costs have gone up by $2,500 a family.",1
1766,"On government land, your administration has cut the number of permits and licenses in half.",1
2129,Social Security is structurally sound.,0
9742,And I think that's a mistake.,0
9149,So more debt and less jobs.,0
27709,In Egypt we stood on the side of democracy.,1
27146,These countries can't develop if young women are not given the kind of education that they need.,0
2402,"Now, the last point I'd make before...",0
9268,"And the president's right in terms of the additional oil production, but none of it came on federal land.",1
27391,Our Air Force is older and smaller than at any time since it was founded in 1947.,1
10265,"I want to close loopholes that allow companies to deduct expenses when they move to China; that allow them to profit offshore and not have to get taxed, so they have tax advantages offshore.",1
2555,And so what I've tried to do as president is to apply those same principles.,0
1895,We went from deficit to surplus.,1
27060,"We have provided humanitarian assistance and we are helping the opposition organize, and we're particularly interested in making sure that we're mobilizing the moderate forces inside of Syria.",1
9566,"And then we have his own record, which is we have four consecutive years where he said when he was running for office, he would cut the deficit in half.",1
27470,"We need to increase pressure time, and time again on Iran because anything other than a -- a -- a solution to this, which says -- which stops this -- this nuclear folly of theirs, is unacceptable to America.",0
27075,"Number two, seeing a -- a replacement government being responsible people is critical for us.",0
27647,"And we're now in a position where we can transition out, because there's no reason why Americans should die when Afghans are perfectly capable of defending their own country.",1
2495,There's a reason why Governor Romney set up the plan that he did in Massachusetts.,0
2059,Why wouldn't we eliminate tax breaks for corporate jets?,0
9637,This is what I have done.,0
27091,"And Assad -- excuse me, Kofi Annan came in and said we're going to try to have a ceasefire.",0
9370,"If you're paying less than you paid a year or two ago, why, then, the strategy is working.",1
2718,"And the reason is because of its people, because of the woman I met in North Carolina who decided at 55 to go back to school because she wanted to inspire her daughter and now has a job from that new training that she's gotten; because a company in Minnesota who was willing to give up salaries and perks for their executives to make sure that they didn't lay off workers during a recession.",0
2496,It wasn't a government takeover of health care.,1
1954,I'm going to stop other things.,0
2231,"Jim, if I -- if I can just respond very quickly, first of all, every study has shown that Medicare has lower administrative costs than private insurance does, which is why seniors are generally pretty happy with it.",1
2442,Because there -- there are two ways of dealing with our health care crisis.,0
2494,But that's already the law and that doesn't help the millions of people out there with preexisting conditions.,1
26949,"We should key our foreign aid, our direct foreign investment, and that of our friends, we should coordinate it to make sure that we -- we push back and give them more economic development.",0
2160,On Social Security he's not.,0
2503,"He says that he's going to replace Dodd-Frank, Wall Street reform, but we don't know exactly which ones.",0
27581,"I look around the world and I don't feel that you see North Korea, continuing to export their nuclear technology, Russia said they're not going to follow Nunn-Lugar any more.",1
9301,"Candy, there's no doubt that world demand's gone up, but our production is going up, and we're using oil more efficiently.",1
1940,The problem with raising taxes is that it slows down the rate of growth.,1
27207,"You can't have kids coming out of college, half of them can't find a job today, or a job that's commensurate with their college degree.",1
2167,We also have 50 percent of doctors who say they won't take more Medicare patients.,1
1850,"Governor Romney says, well, those top 3 percent, they're the job creators, they'd be burdened.",1
27042,"But number five, the other thing that we have to do is recognize that we can't continue to do nation building in these regions.",0
9226,That's what's been squeezing middle class families.,1
1660,"Millions of jobs were lost, the auto industry was on the brink of collapse.",1
27204,"And for that to happen, we have to strengthen our economy here at home.",0
27428,"In fact, this week we'll be carrying out the largest military exercise with Israel in history, this very week.",1
2530,"There are alternatives to accomplish the objective I have, which is to bring down rates, broaden the base, simplify the code, and create incentives for growth.",0
27808,That's the kind of leadership we've shown in the region.,1
2485,"Innermountain Healthcare does it superbly well, Mayo Clinic is doing it superbly well, Cleveland Clinic, others.",1
2034,There has to be revenue in addition to cuts.,0
2489,Let me just point out first of all this board that we're talking about can't make decisions about what treatments are given.,1
1827,"That is, I want to bring down rates.",0
2579,I do not believe in cutting our military.,0
27066,"But what we can't do is to simply suggest that, as Governor Romney at times has suggested, that giving heavy weapons, for example, to the Syrian opposition is a simple proposition that would lead us to be safer over the long term.",1
2203,And the primary beneficiary of that repeal are insurance companies that are estimated to gain billions of dollars back when they aren't making seniors any healthier.,1
2416,What you did instead was to push through a plan without a single Republican vote.,1
2253,Let's get back to Medicare.,0
2247,Can we -- can we stay on Medicare?,0
9731,We've brought twice as many cases against unfair trading practices than the previous administration and we've won every single one that's been decided.,1
9220,And that plan is to make sure that folks at the top play by a different set of rules.,0
9221,"That's been his philosophy in the private sector, that's been his philosophy as governor, that's been his philosophy as a presidential candidate.",0
2396,You keep your own doctor.,1
10363,The president said he would.,0
1755,"But our training programs right now, we've got 47 of them, housed in the federal government, reporting to eight different agencies.",1
2380,And three-quarters of them said it makes us less likely to hire people.,1
1711,"First, we've got to improve our education system and we've made enormous progress drawing on ideas both from Democrats and Republicans that are already starting to show gains in some of the toughest to deal with schools.",1
27342,"I can run this more efficiently than the federal government and states, by the way, are proving it.",0
27755,"They look at the fact that we owe 'em a trillion dollars and owe other people $16 trillion in total, including that.",1
9973,You also have investments in Chinese companies.,1
27585,"I mean, the president received a letter from 38 Democrat senators saying the tensions with Israel were a real problem.",1
9807,This is a president who has not been able to do what he said he'd do.,0
2472,You don't have to have the government mandate that for that to occur.,0
9834,"That's wonderful, except we have a record to look at.",0
27736,"If we don't have the best education system in the world, if we don't continue to put money into research and technology that will allow us to create great businesses here in the United States, that's how we lose the competition.",1
9728,"When he talks about getting tough on China, keep in mind that Governor Romney invested in companies that were pioneers of outsourcing to China, and is currently investing in countries -- in companies that are building surveillance equipment for China to spy on its own folks.",1
27245,And what we've seen over the last four years is something I don't want to see over the next four years.,0
27385,"Our Navy is old -- excuse me, our Navy is smaller now than at any time since 1917.",1
10271,The problem is they'll be in china.,0
9730,"And what we've done when it comes to trade is not only sign three trade deals to open up new markets, but we've also set up a task force for trade that goes after anybody who is taking advantage of American workers or businesses and not creating a level playing field.",1
2315,"Now, it wasn't just on Wall Street.",0
2524,"One way, for instance, would be to have a single number.",0
2137,And she was fiercely independent.,0
27822,"And in that process, they can get government help and government guarantees, but they need to go through bankruptcy to get rid of excess cost and the debt burden that they'd -- they'd built up.",1
2719,"The auto workers that you meet in Toledo or Detroit take such pride in building the best cars in the world, not just because of a paycheck, but because it gives them that sense of pride, that they're helping to build America.",1
27233,That's the kind of leadership that we need to show.,0
9986,"His top adviser on immigration is the guy who designed the Arizona law, the entirety of it; not E-Verify, the whole thing.",1
9925,I did not say that the Arizona law was a model for the nation in that aspect.,1
27300,And our eighth graders number one in English and also in math.,1
27287,"And the kinds of budget proposals that you've put forward, when we don't ask either you or me to pay a dime more in terms of reducing the deficit, but instead we slash support for education, that's undermining our long-term competitiveness.",0
9303,We've opened up public lands.,1
2505,He now says he's going to replace Obamacare and ensure that all the good things that are in it are going to be in there and you don't have to worry.,1
9608,"We've expanded Pell Grants for millions of people, including millions of young women, all across the country.",1
1796,"Now, that's not my analysis.",0
27890,You said that they could get it in the private marketplace.,0
9822,"Today, 47 million people are on food stamps.",1
27560,"And they can look at my track record, whether it's Iran sanctions, whether it's dealing with counterterrorism, whether it's supporting democracy, whether it's supporting women's rights, whether it's supporting religious minorities.",0
27409,It's what are our capabilities.,0
27102,"When we went in to Libya, and we were able to immediately stop the massacre there, because of the unique circumstances and the coalition that we had helped to organize.",1
2168,This -- we have 4 million people on Medicare Advantage that will lose Medicare Advantage because of those $716 billion in cuts.,1
27686,"But we do need to make sure that as we -- as we send support for them, that this is tied to them making progress on -- on matters that would lead them to becoming a civil society.",0
2062,"Well, I want to do the same thing, but I've actually identified how we can do that.",0
1668,"Governor Romney has a perspective that says if we cut taxes, skewed towards the wealthy, and roll back regulations, that we'll be better off.",1
26987,"It's a geopolitical foe, and I said in the same -- in the same paragraph I said, and Iran is the greatest national security threat we face.",1
26983,"First of all, Russia I indicated is a geopolitical foe.",1
27378,The president hasn't balanced a budget yet.,1
9274,What was his participation there?,0
9835,"And that record shows he just hasn't been able to cut the deficit, to put in place reforms for Medicare and Social Security to preserve them, to get us the rising incomes we need.",1
2282,"At the same time, regulation can become excessive.",0
10094,It took them a long time to say this was a terrorist act by a terrorist group.,0
10236,And that makes them advantageous in the marketplace.,1
27858,Providing funding to universities and think tanks is great.,0
9650,You know a major difference in this campaign is that Governor Romney feels comfortable having politicians in Washington decide the health care choices that women are making.,0
2041,That's how we get growth and how we balance the budget.,0
27639,"When I came into office, we were still bogged down in Iraq and Afghanistan had been drifting for a decade.",1
9193,We have fewer people working today than we had when the president took office.,1
26952,"Number four, the rule of law.",0
26940,"That's -- that's important, of course.",0
2751,"You're going to see health premiums go up by some $2,500 per family.",0
27950,"Over the last four years we've made real progress digging our way out of policies that gave us two prolonged wars, record deficits and the worst economic crisis since the Great Depression.",1
9324,"Governor, we have actually produced more oil --",1
9691,And -- and the -- and the president's statement of my policy is completely and totally wrong.,1
27794,"Well, Governor Romney's right, you are familiar with jobs being shipped overseas because you invested in companies that were shipping jobs overseas.",1
10220,China is now the largest manufacturer in the world.,1
2535,And what we did in Massachusetts is a model for the nation state by state.,0
27670,This is -- this is an important part of the world for us.,0
2394,"Number one, if you've got health insurance, it doesn't mean a government takeover.",0
2509,"The reason is, is because, when we reform Wall Street, when we tackle the problem of pre-existing conditions, then, you know, these are tough problems and we've got to make choices.",0
27151,Their aspirations are similar to young people's here.,0
2321,We stepped in and had the toughest reforms on Wall Street since the 1930s.,1
9657,That's not the kind of advocacy that women need.,0
26958,"Libya's 6 million population; Egypt, 80 million population.",1
27309,The first -- the first -- the first -- and we kept our schools number one in the nation.,1
9860,Thank you for your question.,0
27213,"And a year later, 9/11 happened.",1
26913,"Mali has been taken over, the northern part of Mali by al-Qaeda type individuals.",1
2453,"And over the last two years, health care premiums have gone up -- it's true -- but they've gone up slower than any time in the last 50 years.",1
10345,I -- I served as a missionary for my church.,0
27351,"Now, the math doesn't work, but he continues to claim that he's going to do it.",1
27727,That's the reason why we have brought more cases against China for violating trade rules than the other -- the previous administration had done in two terms.,1
27227,"But what we also have been able to do is position ourselves so we can start rebuilding America, and that's what my plan does.",1
9514,"We don't have to settle for, how many months, 43 months with unemployment above 8 percent, 23 million Americans struggling to find a good job right now.",1
1980,"Well, that's how the commission -- bipartisan commission that talked about how we should move forward suggested we have to do it, in a balanced way with some revenue and some spending cuts.",0
9176,It also means we're helping them and small businesses to export all around the world to new markets.,1
1659,"You know, four years ago we went through the worst financial crisis since the Great Depression.",1
9484,"But what I've also says is for above $250,000, we can go back to the tax rates we had when Bill Clinton was president.",0
10180,So that's on the record.,0
27395,"And I will not cut our military budget by a trillion dollars, which is a combination of the budget cuts the president has, as well as the sequestration cuts.",1
9919,"But it's very hard for Republican's in Congress to support comprehensive immigration reform, if their standard bearer has said that, this is not something I'm interested in supporting.",0
27656,"And as a consequence, veterans' unemployment is actually now lower than general population.",1
26981,"Attacking me is not talking about how we're going to deal with the challenges that exist in the Middle East, and take advantage of the opportunity there, and stem the tide of this violence.",0
27954,"And I've put forward a plan to make sure that we're bringing manufacturing jobs back to our shores by rewarding companies and small businesses that are investing here, not overseas.",1
9981,I do want to make sure that...,0
9752,There's no doubt about it.,0
27104,"And to the governor's credit, you supported us going into Libya and the coalition that we organized.",1
9382,"He said when I took office, the price of gasoline was $1.80, $1.86.",1
9205,You took General Motors bankrupt.,1
9146,"With half of college kids graduating this year without a college -- excuse me, without a job.",1
